2024:01:08	11:14:39	b313983a-2b5b-475f-8c73-60ce3de1debb	GET	/	undefined
2024:01:08	11:14:39	7c2471f0-80e6-4bf6-bc2e-54b9e28fbc7e	GET	/css/styles.css	undefined
2024:01:08	11:14:40	129529b1-1f6d-4a77-a217-c0ab2efa13e3	GET	/favicon.ico	undefined
2024:01:08	13:56:07	9b080582-9faf-4475-806b-ab8dae927ddb	POST	/api/v1/createNewUser	undefined
2024:01:08	13:56:24	7fed8188-8ae4-4162-ad06-caf960173e47	POST	/users/createNewUser	undefined
2024:01:08	13:56:53	e2207e74-1aca-4883-865c-ecc17200ff62	POST	/users/createNewUser	undefined
2024:01:08	13:59:43	3535384f-3539-4852-b344-3f73c91c13c4	GET	/users/get-user-info	undefined
2024:01:08	14:02:28	296ef0d0-1d09-407b-b9b0-514e0c2c74b9	POST	/users/social-auth	undefined
2024:01:09	08:47:43	dc9554d4-bd99-4271-9d5e-6bc8239b60f5	POST	/users/logout	http://localhost:3000
2024:01:09	08:50:00	f78cad28-0615-4707-888a-632480339cdd	POST	/users/logout	http://localhost:3000
2024:01:09	08:58:38	e21d720b-051b-41ea-8acb-9f2cf9af1bc3	POST	/users/logout	http://localhost:3000
2024:01:09	08:59:31	4222b89e-f416-4e65-9a11-e2787d705fbe	POST	/users/logout	http://localhost:3000
2024:01:09	09:02:05	c1832931-1211-4ffd-b5f9-6d698dd741bf	POST	/users/logout	http://localhost:3000
2024:01:09	09:04:23	506346e1-fb34-49a9-b9a2-3518dabec8c3	POST	/users/logout	http://localhost:3000
2024:01:09	09:04:35	5da3fa25-abb8-45dc-a540-8e4c8e3c9b25	OPTIONS	/users/social-auth	http://localhost:3000
2024:01:09	09:04:35	9257e4d9-bee3-4fba-9ac9-b1c5d28a2a41	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:04:35	b57371af-e2d4-469f-8640-a0483231e564	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:04:35	7aec4b75-21d2-492e-ab3a-81146c875b0c	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:04:37	f24a8610-52c7-4373-97e4-6821fbfa8aa7	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:04:37	63d906ef-93f2-4d87-98a1-ee834c2aa002	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:04:38	5c9afd98-b0f1-4ecb-9f8c-7f7f04499dab	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:04:38	e77fb06c-ee85-4e6b-8ebe-a29c8634e760	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:04:38	90d938b2-1503-4b78-8f68-4c4c32dc5455	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:04:38	18d77091-14f6-4ea5-a02a-10316dea3bf5	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:04:39	4e0b2599-a227-4ef6-a809-df7cdd7db83c	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:04:39	193e81cb-ef21-4901-bdbd-47b66d11c59f	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:05	360f6777-28e6-41d3-93a5-277fcbaaf4e9	OPTIONS	/users/social-auth	http://localhost:3000
2024:01:09	09:05:05	fd0ed5ff-550d-48bb-8cbc-7d6534e76058	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:05	15d96113-a4e0-4080-a7ac-b6e505e620b3	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:05	bae2cebf-6795-4c8e-a0bb-ac29c1023619	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:06	84f0c9fc-80c3-4863-8db0-ec84a823653d	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:06	dcb8417e-aba8-423c-87a2-a185999e112d	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:06	a7e61020-6b26-4012-9b43-68ecd3b1c019	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:06	972101e6-e3fa-46be-b271-4a68f592fdc0	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:07	0dab0c76-9f16-4ee0-b145-1d560e339d38	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:07	c8bc04b6-de82-4f98-8db5-288c5ba818ad	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:07	06db7a36-6277-4f88-b861-47a321584abf	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:07	d6a0b170-c721-474d-aa20-b84c9632cfaf	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:09	0fdeff87-8e53-4ddc-b5d0-98d67a2ee421	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:09	553a9b4a-53e0-485b-9ec3-bfeea4c5047f	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:09	ed96441d-3d21-428e-9159-fd6507784994	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:09	53243905-319c-4ac9-ade6-951f7b1c10d7	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:10	479a84be-c510-4be8-8366-8a4051e850f7	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:10	8edd0183-e5d8-46c1-b01e-081eeb484df9	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:10	ddd39081-083a-4db7-ad22-2ce63f62fa0d	OPTIONS	/users/social-auth	http://localhost:3000
2024:01:09	09:05:10	790e57c0-8412-4d16-a5a7-b944039749a0	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:10	721a0035-218c-474f-acb7-1c067bf67819	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:11	2e66bc8e-f478-4ac6-b2fa-7b0a68179ac8	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:11	30963186-45bc-41c6-9108-d86d10ced1ca	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:12	5b16c4de-4994-4e5f-bc58-f985e4f5355b	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:12	db2572bf-a851-41be-b545-c9b63022c9b3	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:12	a3db3671-8467-4e23-b6e5-c4f31b24df12	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:12	01418d37-2953-49e1-aa0b-05b98441a944	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:13	dbda97c1-c197-4947-addd-d450f8375d4b	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:13	31dce59f-600b-48ff-9484-31eeb5e716f6	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:13	b73b02c9-807d-4925-a0a0-7fddb7fbf70a	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:13	7a0eaa7b-cf60-4099-a30d-6464b144fe4d	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:14	4ebfed5a-d735-43e8-b492-0ee2c6a3accb	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:14	fae1d631-6d15-4aff-b99f-51a16b3662f6	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:14	a66df812-16c7-4b00-a217-0a65428581e4	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:14	2d22fb56-4924-4d5b-9f41-448eaa7dc101	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:15	15ae78c9-6497-41af-b896-53ad8a22675b	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:15	d9e90608-f6d5-4844-89ac-7c38b997df4a	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:16	67b3aa93-2f12-4d11-8935-4ae49963a35c	OPTIONS	/users/social-auth	http://localhost:3000
2024:01:09	09:05:16	6f4df0b4-dfc2-45cf-8fb8-869b636c030d	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:16	6becb505-aa2e-497b-8d2f-68436c51a11a	POST	/users/social-auth	http://localhost:3000
2024:01:09	09:05:16	40c72238-5543-4fe6-af3e-b7b5f8c5928c	POST	/users/social-auth	http://localhost:3000
